USER_ID,Elapsed,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjMode,EditMode,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge
808fd42c,134.77,2,14.77,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,135.77,2,15.77,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,136.77,2,16.77,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,137.78,2,17.78,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,138.78,2,18.78,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,139.78,2,19.78,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,140.79,2,20.79,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,141.78,2,21.78,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,142.79,2,22.79,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,143.8,2,23.8,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,144.8,2,24.8,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,145.81,2,25.81,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,146.81,2,26.81,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,147.81,2,27.81,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,148.81,2,28.81,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,149.82,2,29.82,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,150.82,2,30.82,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,151.82,2,31.82,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,152.83,2,32.83,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,153.83,2,33.83,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,154.83,2,34.83,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,155.84,2,35.84,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,156.84,2,36.84,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,157.84,2,37.84,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,158.84,2,38.84,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,159.85,2,39.85,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,160.85,2,40.85,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,161.85,2,41.85,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,162.85,2,42.85,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,163.86,2,43.86,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,164.86,2,44.86,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,165.87,2,45.87,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,166.87,2,46.87,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,167.87,2,47.87,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,168.87,2,48.87,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,169.88,2,49.88,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,170.88,2,50.88,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,171.88,2,51.88,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,172.88,2,52.88,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,173.88,2,53.88,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,174.88,2,54.88,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,175.89,2,55.89,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,176.89,2,56.89,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,177.89,2,57.89,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,178.89,2,58.89,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,179.9,2,59.9,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,180.9,3,0.9,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,181.9,3,1.9,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,182.9,3,2.9,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,183.91,3,3.91,5.52,-0.62,1.79,6.24,0.0,0.0,0.0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
